ISIN,0,1
LU0292100806,Inception/ Listing Date,26 June 2007
LU0292100806,Distribution policy,Accumulating
LU0292100806,Distribution frequency,-
LU0292100806,Fund domicile,Luxembourg
LU0292100806,Fund Provider,Xtrackers
IE00BKWQ0F09,Index,MSCI Europe Energy 20/35 Capped
IE00BKWQ0F09,Investment focus,"Equity, Europe, Energy"
IE00BKWQ0F09,Fund size,EUR 680 m
IE00BKWQ0F09,Total expense ratio,0.18% p.a.
IE00BKWQ0F09,Replication,Physical (Full replication)
IE00BKWQ0F09,Legal structure,ETF
IE00BKWQ0F09,Strategy risk,Long-only
IE00BKWQ0F09,Sustainability,No
IE00BKWQ0F09,Fund currency,EUR
IE00BKWQ0F09,Currency risk,Currency unhedged
IE00BKWQ0F09,Volatility 1 year (in EUR),21.30%
IE00BKWQ0F09,Inception/ Listing Date,5 December 2014
IE00BKWQ0F09,Distribution policy,Accumulating
IE00BKWQ0F09,Distribution frequency,-
IE00BKWQ0F09,Fund domicile,Ireland
IE00BKWQ0F09,Fund Provider,SPDR ETF
DE000A0H08M3,Index,STOXX® Europe 600 Oil & Gas
DE000A0H08M3,Investment focus,"Equity, Europe, Energy"
DE000A0H08M3,Fund size,EUR 419 m
DE000A0H08M3,Total expense ratio,0.47% p.a.
DE000A0H08M3,Replication,Physical (Full replication)
DE000A0H08M3,Legal structure,ETF
DE000A0H08M3,Strategy risk,Long-only
DE000A0H08M3,Sustainability,No
DE000A0H08M3,Fund currency,EUR
DE000A0H08M3,Currency risk,Currency unhedged
DE000A0H08M3,Volatility 1 year (in EUR),20.19%
DE000A0H08M3,Inception/ Listing Date,8 July 2002
DE000A0H08M3,Distribution policy,Distributing
DE000A0H08M3,Distribution frequency,At least annually
DE000A0H08M3,Fund domicile,Germany
DE000A0H08M3,Fund Provider,iShares
LU1834988278,Index,STOXX® Europe 600 Energy ESG+
LU1834988278,Investment focus,"Equity, Europe, Energy, Social/Environmental"
LU1834988278,Fund size,EUR 91 m
LU1834988278,Total expense ratio,0.30% p.a.
LU1834988278,Replication,Physical (Full replication)
LU1834988278,Legal structure,ETF
LU1834988278,Strategy risk,Long-only
LU1834988278,Sustainability,Yes
LU1834988278,Fund currency,EUR
LU1834988278,Currency risk,Currency unhedged
LU1834988278,Volatility 1 year (in EUR),21.66%
LU1834988278,Inception/ Listing Date,25 October 2006
LU1834988278,Distribution policy,Accumulating
LU1834988278,Distribution frequency,-
LU1834988278,Fund domicile,Luxembourg
LU1834988278,Fund Provider,Amundi ETF
DE000A0F5UJ7,Index,STOXX® Europe 600 Banks
DE000A0F5UJ7,Investment focus,"Equity, Europe, Financials"
DE000A0F5UJ7,Fund size,"EUR 2,574 m"
DE000A0F5UJ7,Total expense ratio,0.47% p.a.
DE000A0F5UJ7,Replication,Physical (Full replication)
DE000A0F5UJ7,Legal structure,ETF
DE000A0F5UJ7,Strategy risk,Long-only
DE000A0F5UJ7,Sustainability,No
DE000A0F5UJ7,Fund currency,EUR
DE000A0F5UJ7,Currency risk,Currency unhedged
DE000A0F5UJ7,Volatility 1 year (in EUR),22.88%
DE000A0F5UJ7,Inception/ Listing Date,25 April 2001
DE000A0F5UJ7,Distribution policy,Distributing
DE000A0F5UJ7,Distribution frequency,At least annually
DE000A0F5UJ7,Fund domicile,Germany
DE000A0F5UJ7,Fund Provider,iShares
LU1829219390,Index,EURO STOXX® Banks
LU1829219390,Investment focus,"Equity, Europe, Financials"
LU1829219390,Fund size,"EUR 2,501 m"
LU1829219390,Total expense ratio,0.30% p.a.
LU1829219390,Replication,Physical (Full replication)
LU1829219390,Legal structure,ETF
LU1829219390,Strategy risk,Long-only
LU1829219390,Sustainability,No
LU1829219390,Fund currency,EUR
LU1829219390,Currency risk,Currency unhedged
LU1829219390,Volatility 1 year (in EUR),25.25%
LU1829219390,Inception/ Listing Date,12 December 2013
LU1829219390,Distribution policy,Accumulating
LU1829219390,Distribution frequency,-
LU1829219390,Fund domicile,Luxembourg
LU1829219390,Fund Provider,Amundi ETF
IE00BKWQ0G16,Index,MSCI Europe Financials 20/35 Capped
IE00BKWQ0G16,Investment focus,"Equity, Europe, Financials"
IE00BKWQ0G16,Fund size,EUR 569 m
IE00BKWQ0G16,Total expense ratio,0.18% p.a.
IE00BKWQ0G16,Replication,Physical (Full replication)
IE00BKWQ0G16,Legal structure,ETF
IE00BKWQ0G16,Strategy risk,Long-only
IE00BKWQ0G16,Sustainability,No
IE00BKWQ0G16,Fund currency,EUR
IE00BKWQ0G16,Currency risk,Currency unhedged
IE00BKWQ0G16,Volatility 1 year (in EUR),18.74%
IE00BKWQ0G16,Inception/ Listing Date,5 December 2014
IE00BKWQ0G16,Distribution policy,Accumulating
IE00BKWQ0G16,Distribution frequency,-
IE00BKWQ0G16,Fund domicile,Ireland
IE00BKWQ0G16,Fund Provider,SPDR ETF
DE000A0Q4R36,Index,STOXX® Europe 600 Health Care
DE000A0Q4R36,Investment focus,"Equity, Europe, Health Care"
DE000A0Q4R36,Fund size,EUR 730 m
DE000A0Q4R36,Total expense ratio,0.46% p.a.
DE000A0Q4R36,Replication,Physical (Full replication)
DE000A0Q4R36,Legal structure,ETF
DE000A0Q4R36,Strategy risk,Long-only
DE000A0Q4R36,Sustainability,No
DE000A0Q4R36,Fund currency,EUR
DE000A0Q4R36,Currency risk,Currency unhedged
DE000A0Q4R36,Volatility 1 year (in EUR),17.81%
DE000A0Q4R36,Inception/ Listing Date,25 April 2001
DE000A0Q4R36,Distribution policy,Distributing
DE000A0Q4R36,Distribution frequency,At least annually
DE000A0Q4R36,Fund domicile,Germany
DE000A0Q4R36,Fund Provider,iShares
IE00BKWQ0H23,Index,MSCI Europe Health Care 20/35 Capped
IE00BKWQ0H23,Investment focus,"Equity, Europe, Health Care"
IE00BKWQ0H23,Fund size,EUR 663 m
IE00BKWQ0H23,Total expense ratio,0.18% p.a.
IE00BKWQ0H23,Replication,Physical (Full replication)
IE00BKWQ0H23,Legal structure,ETF
IE00BKWQ0H23,Strategy risk,Long-only
IE00BKWQ0H23,Sustainability,No
IE00BKWQ0H23,Fund currency,EUR
IE00BKWQ0H23,Currency risk,Currency unhedged
IE00BKWQ0H23,Volatility 1 year (in EUR),18.16%
IE00BKWQ0H23,Inception/ Listing Date,5 December 2014
IE00BKWQ0H23,Distribution policy,Accumulating
IE00BKWQ0H23,Distribution frequency,-
IE00BKWQ0H23,Fund domicile,Ireland
IE00BKWQ0H23,Fund Provider,SPDR ETF
DE000A0H08F7,Index,STOXX® Europe 600 Construction & Materials
DE000A0H08F7,Investment focus,"Equity, Europe, Industrials"
DE000A0H08F7,Fund size,EUR 873 m
DE000A0H08F7,Total expense ratio,0.46% p.a.
DE000A0H08F7,Replication,Physical (Full replication)
DE000A0H08F7,Legal structure,ETF
DE000A0H08F7,Strategy risk,Long-only
DE000A0H08F7,Sustainability,No
DE000A0H08F7,Fund currency,EUR
DE000A0H08F7,Currency risk,Currency unhedged
DE000A0H08F7,Volatility 1 year (in EUR),19.29%
DE000A0H08F7,Inception/ Listing Date,8 July 2002
DE000A0H08F7,Distribution policy,Distributing
DE000A0H08F7,Distribution frequency,At least annually
DE000A0H08F7,Fund domicile,Germany
DE000A0H08F7,Fund Provider,iShares
IE00B5MJYX09,Index,STOXX® Europe 600 Optimised Industrial Goods & Services
IE00B5MJYX09,Investment focus,"Equity, Europe, Industrials"
IE00B5MJYX09,Fund size,EUR 121 m
IE00B5MJYX09,Total expense ratio,0.20% p.a.
IE00B5MJYX09,Replication,Synthetic (Unfunded swap)
IE00B5MJYX09,Legal structure,ETF
IE00B5MJYX09,Strategy risk,Long-only
IE00B5MJYX09,Sustainability,No
IE00B5MJYX09,Fund currency,EUR
IE00B5MJYX09,Currency risk,Currency unhedged
IE00B5MJYX09,Volatility 1 year (in EUR),19.95%
IE00B5MJYX09,Inception/ Listing Date,8 July 2009
IE00B5MJYX09,Distribution policy,Accumulating
IE00B5MJYX09,Distribution frequency,-
IE00B5MJYX09,Fund domicile,Ireland
IE00B5MJYX09,Fund Provider,Invesco
DE000A0H08Q4,Index,STOXX® Europe 600 Technology
DE000A0H08Q4,Investment focus,"Equity, Europe, Technology"
DE000A0H08Q4,Fund size,EUR 182 m
DE000A0H08Q4,Total expense ratio,0.46% p.a.
DE000A0H08Q4,Replication,Physical (Full replication)
DE000A0H08Q4,Legal structure,ETF
DE000A0H08Q4,Strategy risk,Long-only
DE000A0H08Q4,Sustainability,No
DE000A0H08Q4,Fund currency,EUR
DE000A0H08Q4,Currency risk,Currency unhedged
DE000A0H08Q4,Volatility 1 year (in EUR),24.45%
DE000A0H08Q4,Inception/ Listing Date,25 April 2001
DE000A0H08Q4,Distribution policy,Distributing
DE000A0H08Q4,Distribution frequency,At least annually
DE000A0H08Q4,Fund domicile,Germany
DE000A0H08Q4,Fund Provider,iShares
IE00BKWQ0K51,Index,MSCI Europe Information Technology 20/35 Capped
IE00BKWQ0K51,Investment focus,"Equity, Europe, Technology"
IE00BKWQ0K51,Fund size,EUR 80 m
IE00BKWQ0K51,Total expense ratio,0.18% p.a.
IE00BKWQ0K51,Replication,Physical (Full replication)
IE00BKWQ0K51,Legal structure,ETF
IE00BKWQ0K51,Strategy risk,Long-only
IE00BKWQ0K51,Sustainability,No
IE00BKWQ0K51,Fund currency,EUR
IE00BKWQ0K51,Currency risk,Currency unhedged
IE00BKWQ0K51,Volatility 1 year (in EUR),26.19%
IE00BKWQ0K51,Inception/ Listing Date,5 December 2014
IE00BKWQ0K51,Distribution policy,Accumulating
IE00BKWQ0K51,Distribution frequency,-
IE00BKWQ0K51,Fund domicile,Ireland
IE00BKWQ0K51,Fund Provider,SPDR ETF
IE00BKWQ0N82,Index,MSCI Europe Communication Services 20/35 Capped
IE00BKWQ0N82,Investment focus,"Equity, Europe, Telecommunication"
IE00BKWQ0N82,Fund size,EUR 64 m
IE00BKWQ0N82,Total expense ratio,0.18% p.a.
IE00BKWQ0N82,Replication,Physical (Full replication)
IE00BKWQ0N82,Legal structure,ETF
IE00BKWQ0N82,Strategy risk,Long-only
IE00BKWQ0N82,Sustainability,No
IE00BKWQ0N82,Fund currency,EUR
IE00BKWQ0N82,Currency risk,Currency unhedged
IE00BKWQ0N82,Volatility 1 year (in EUR),14.33%
IE00BKWQ0N82,Inception/ Listing Date,5 December 2014
IE00BKWQ0N82,Distribution policy,Accumulating
IE00BKWQ0N82,Distribution frequency,-
IE00BKWQ0N82,Fund domicile,Ireland
IE00BKWQ0N82,Fund Provider,SPDR ETF
LU1834988609,Index,STOXX® Europe 600 Telecommunications
LU1834988609,Investment focus,"Equity, Europe, Telecommunication"
LU1834988609,Fund size,EUR 41 m
LU1834988609,Total expense ratio,0.30% p.a.
LU1834988609,Replication,Synthetic (Unfunded swap)
LU1834988609,Legal structure,ETF
LU1834988609,Strategy risk,Long-only
LU1834988609,Sustainability,No
LU1834988609,Fund currency,EUR
LU1834988609,Currency risk,Currency unhedged
LU1834988609,Volatility 1 year (in EUR),14.84%
LU1834988609,Inception/ Listing Date,25 August 2006
LU1834988609,Distribution policy,Accumulating
LU1834988609,Distribution frequency,-
LU1834988609,Fund domicile,Luxembourg
LU1834988609,Fund Provider,Amundi ETF
